dataset;tabela;funcHash;m;n;tempoInsercao_ms;colisoesInsercao;tempoBusca_ms;gapMin;gapMax;gapMedio
1M;Encadeada;DIVISAO;1003;1000000;36.822;499493125;44926.341;0;0;0.00
top3_encadeada;1M;DIVISAO;1003;37:1101;896:1089;298:1083
1M;Encadeada;DIVISAO;10007;1000000;99.816;50952928;762.146;0;0;0.00
top3_encadeada;1M;DIVISAO;10007;7118:140;8032:139;9255:139
1M;Encadeada;DIVISAO;100003;1000000;69.327;5897749;447.859;0;0;0.00
top3_encadeada;1M;DIVISAO;100003;22973:28;34456:27;19678:25
1M;Encadeada;MULTIPLICACAO;1003;1000000;50.690;499517545;24173.832;0;0;0.00
top3_encadeada;1M;MULTIPLICACAO;1003;246:1102;20:1097;788:1085
1M;Encadeada;MULTIPLICACAO;10007;1000000;186.180;50951680;828.042;0;0;0.00
top3_encadeada;1M;MULTIPLICACAO;10007;209:145;5977:137;6736:136
1M;Encadeada;MULTIPLICACAO;100003;1000000;246.629;5898194;338.207;0;0;0.00
top3_encadeada;1M;MULTIPLICACAO;100003;18560:28;3305:27;3519:27
1M;Encadeada;ULTIMOS;1003;1000000;150.553;499492656;2802.111;0;0;0.00
top3_encadeada;1M;ULTIMOS;1003;600:1088;310:1085;645:1080
1M;Encadeada;ULTIMOS;10007;1000000;119.123;50955571;1349.215;0;0;0.00
top3_encadeada;1M;ULTIMOS;10007;3732:141;6326:134;9517:134
1M;Encadeada;ULTIMOS;100003;1000000;150.607;5901041;518.319;0;0;0.00
top3_encadeada;1M;ULTIMOS;100003;64685:27;14528:25;42587:25
