dataset;tabela;funcHash;m;n;tempoInsercao_ms;colisoesInsercao;tempoBusca_ms;gapMin;gapMax;gapMedio
10M;Encadeada;DIVISAO;1003;10000000;1013.297;49860764251;266042.091;0;0;0.00
top3_encadeada;10M;DIVISAO;1003;848:10292;1000:10283;811:10257
10M;Encadeada;DIVISAO;10007;10000000;1655.802;5006568431;59438.068;0;0;0.00
top3_encadeada;10M;DIVISAO;10007;2157:1111;2559:1107;3515:1107
10M;Encadeada;DIVISAO;100003;10000000;3297.037;509907097;33833.072;0;0;0.00
top3_encadeada;10M;DIVISAO;100003;74710:148;38248:143;71350:142
10M;Encadeada;MULTIPLICACAO;1003;10000000;784.420;49860542087;217222.275;0;0;0.00
top3_encadeada;10M;MULTIPLICACAO;1003;364:10301;895:10289;699:10283
10M;Encadeada;MULTIPLICACAO;10007;10000000;981.853;5006447829;20500.472;0;0;0.00
top3_encadeada;10M;MULTIPLICACAO;10007;1878:1112;2451:1106;5209:1105
10M;Encadeada;MULTIPLICACAO;100003;10000000;1165.755;509878066;6857.217;0;0;0.00
top3_encadeada;10M;MULTIPLICACAO;100003;76021:145;2891:144;16937:144
10M;Encadeada;ULTIMOS;1003;10000000;726.434;49861481918;1749451.984;0;0;0.00
top3_encadeada;10M;ULTIMOS;1003;543:10334;631:10311;620:10252
10M;Encadeada;ULTIMOS;10007;10000000;3237.905;5006718161;105905.610;0;0;0.00
top3_encadeada;10M;ULTIMOS;10007;1267:1120;9245:1120;9563:1118
10M;Encadeada;ULTIMOS;100003;10000000;1553.268;509907423;9792.389;0;0;0.00
top3_encadeada;10M;ULTIMOS;100003;11617:146;26925:144;11439:142
